,numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
1994,2,BHK,Apartment,Moshi,Pune,18.67595482,73.84246063,INR,2.0,0.0,Not Negotiable,Unfurnished,983.0,45000.0,16500.0
1995,3,BHK,Apartment,Mundhwa,Pune,18.53171539,73.9449234,INR,3.0,2.0,Negotiable,Furnished,926.0,30000.0,42000.0
1996,1,BHK,Apartment,Kharadi,Pune,18.55174828,73.93890381,INR,1.0,0.0,Negotiable,Semi-Furnished,550.0,51000.0,17000.0
1997,3,BHK,Apartment,NIBM Annex Mohammadwadi,Pune,18.47385025,73.91191864,INR,3.0,2.0,Not Negotiable,Semi-Furnished,1600.0,120000.0,38000.0
1998,2,BHK,Apartment,Vadgaon Budruk,Pune,18.47061157,73.823349,INR,1.0,0.0,Not Negotiable,Semi-Furnished,1011.0,20000.0,6000.0
1999,2,BHK,Apartment,Mundhwa,Pune,18.53286743,73.94581604,INR,2.0,3.0,Negotiable,Semi-Furnished,809.0,93000.0,31000.0
2000,2,BHK,Apartment,Lohegaon,Pune,18.60551453,73.91033173,INR,2.0,0.0,Not Negotiable,Semi-Furnished,965.0,50000.0,22000.0
2001,1,BHK,Apartment,Law College Road,Pune,18.52046967,73.85662079,INR,2.0,2.0,Not Negotiable,Furnished,900.0,4000.0,4000.0
2002,1,BHK,Independent Floor,Ravet,Pune,18.65595818,73.74341583,INR,1.0,1.0,Not Negotiable,Unfurnished,700.0,25000.0,13000.0
2003,1,BHK,Apartment,Dighi,Pune,18.46571922,73.78718567,INR,1.0,2.0,Negotiable,Unfurnished,800.0,30000.0,13500.0
2004,1,BHK,Apartment,Pimple Saudagar,Pune,18.59486961,73.79818726,INR,2.0,1.0,Not Negotiable,Semi-Furnished,795.0,65000.0,22000.0
2005,3,BHK,Apartment,Viman Nagar,Pune,18.56972122,73.91083527,INR,3.0,2.0,Negotiable,Furnished,1600.0,125000.0,59500.0
2006,3,BHK,Apartment,Akurdi,Pune,18.64679909,73.78308105,INR,3.0,0.0,Negotiable,Semi-Furnished,1171.0,75000.0,24000.0
2007,2,BHK,Apartment,Hadapsar,Pune,18.51144791,73.92240143,INR,2.0,0.0,Negotiable,Semi-Furnished,1200.0,68000.0,34000.0
2008,1,BHK,Apartment,Wagholi,Pune,18.58947563,73.97996521,INR,1.0,0.0,Not Negotiable,Semi-Furnished,630.0,30000.0,10000.0
2009,2,BHK,Apartment,Ravet,Pune,18.66646576,73.73058319,INR,2.0,1.0,Not Negotiable,Unfurnished,954.0,75000.0,18500.0
