numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
1,BHK,Independent Floor,Bindapur,Delhi,28.60990334,77.07619476,INR,1.0,0.0,Not Negotiable,Semi-Furnished,450.0,0.0,9000.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1350.0,0.0,35000.0
2,BHK,Independent Floor,Dabri,Delhi,28.60726929,77.08944702,INR,2.0,0.0,Not Negotiable,Unfurnished,900.0,0.0,14000.0
1,BHK,Independent Floor,Dabri,Delhi,28.60993385,77.09203339,INR,1.0,0.0,Not Negotiable,Unfurnished,390.0,0.0,8000.0
2,BHK,Independent Floor,Manglapuri,Delhi,28.60354996,77.08726501,INR,2.0,0.0,Not Negotiable,Semi-Furnished,765.0,0.0,12000.0
1,BHK,Independent Floor,Dabri,Delhi,28.60726929,77.08944702,INR,1.0,0.0,Not Negotiable,Semi-Furnished,360.0,0.0,8500.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.60982704,77.10020447,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1890.0,0.0,52000.0
2,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1350.0,0.0,30000.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.62897873,77.08043671,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1350.0,0.0,50000.0
2,BHK,Independent Floor,Dabri,Delhi,28.61173439,77.08657074,INR,2.0,0.0,Not Negotiable,Unfurnished,745.0,0.0,14000.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,3.0,0.0,Not Negotiable,Semi-Furnished,2025.0,0.0,40000.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.62897873,77.08043671,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1350.0,0.0,43000.0
3,BHK,Independent Floor,Dabri,Delhi,28.61173439,77.08657074,INR,2.0,0.0,Not Negotiable,Semi-Furnished,990.0,0.0,19000.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1485.0,0.0,42000.0
1,BHK,Independent Floor,Bindapur,Delhi,28.61802292,77.07226562,INR,1.0,0.0,Not Negotiable,Semi-Furnished,540.0,0.0,10000.0
1,BHK,Independent Floor,Dabri,Delhi,28.60993385,77.09203339,INR,1.0,0.0,Not Negotiable,Semi-Furnished,450.0,0.0,9000.0
2,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,2.0,0.0,Not Negotiable,Semi-Furnished,816.0,0.0,32000.0
2,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,2.0,0.0,Not Negotiable,Semi-Furnished,816.0,0.0,32000.0
3,BHK,Independent Floor,Dabri,Delhi,28.60993385,77.09203339,INR,2.0,0.0,Not Negotiable,Semi-Furnished,900.0,0.0,22000.0
3,BHK,Independent Floor,Dabri,Delhi,28.60977364,77.0915451,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1800.0,0.0,21000.0
2,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,2.0,0.0,Not Negotiable,Semi-Furnished,720.0,0.0,30000.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1350.0,0.0,43000.0
3,BHK,Independent Floor,Dabri,Delhi,28.60993385,77.09203339,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1080.0,0.0,23000.0
3,BHK,Independent Floor,Janakpuri,Delhi,28.62119293,77.09102631,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1350.0,0.0,40000.0
2,BHK,Independent Floor,Dabri,Delhi,28.60906982,77.08935547,INR,1.0,0.0,Not Negotiable,Semi-Furnished,675.0,0.0,12000.0
2,BHK,Apartment,Sector 19 Dwarka,Delhi,28.58540726,77.04299927,INR,1.0,0.0,Not Negotiable,Furnished,720.0,0.0,28000.0
2,BHK,Apartment,Sector 8 Dwarka,Delhi,28.57053947,77.07099152,INR,2.0,0.0,Not Negotiable,Semi-Furnished,720.0,0.0,22000.0
4,BHK,Apartment,Sector 23 Dwarka,Delhi,28.56310081,77.05092621,INR,4.0,0.0,Not Negotiable,Semi-Furnished,2400.0,0.0,50000.0
3,BHK,Apartment,Sector 5 Dwarka,Delhi,28.59773827,77.0566864,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1700.0,0.0,40000.0
3,BHK,Apartment,Sector 11 Dwarka,Delhi,28.58954048,77.04999542,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1750.0,0.0,42000.0
4,BHK,Apartment,Sector 4 Dwarka,Delhi,28.60176086,77.04917145,INR,4.0,0.0,Not Negotiable,Semi-Furnished,2400.0,0.0,40000.0
